epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.0168,1.46649,1.82248,1.38781,0.60019,0.3133,0.37978,0.19317,1.69267,1.81334,1.48255,0.000550425,0.000550425,0.000550425
2,29.2345,1.55228,1.60864,1.4649,0.43853,0.38284,0.38959,0.18912,1.84819,1.89707,1.63424,0.00109514,0.00109514,0.00109514
3,43.2126,1.58288,1.57099,1.47658,0.51351,0.30848,0.32783,0.15903,1.81017,1.83908,1.66474,0.00162886,0.00162886,0.00162886
4,56.9251,1.56207,1.55609,1.50435,0.45444,0.39147,0.36642,0.1789,1.84829,1.73856,1.73621,0.00161749,0.00161749,0.00161749
5,70.7078,1.5583,1.48287,1.4808,0.48891,0.35936,0.38902,0.19462,1.80548,1.61311,1.6293,0.00160099,0.00160099,0.00160099
6,84.3332,1.52931,1.41372,1.46995,0.50847,0.41476,0.43879,0.22322,1.74015,1.45734,1.56306,0.00158448,0.00158448,0.00158448
7,98.0704,1.54075,1.43252,1.47679,0.5419,0.49914,0.48277,0.24489,1.65905,1.46926,1.53245,0.00156798,0.00156798,0.00156798
8,111.922,1.51289,1.37982,1.44102,0.51975,0.28235,0.37546,0.19618,1.72502,1.73219,1.60559,0.00155148,0.00155148,0.00155148
9,125.622,1.4809,1.33785,1.43149,0.64731,0.43113,0.48857,0.2512,1.664,1.37813,1.50305,0.00153497,0.00153497,0.00153497
10,139.357,1.46314,1.30055,1.41091,0.50954,0.48453,0.45542,0.23614,1.70932,1.47156,1.52068,0.00151847,0.00151847,0.00151847
11,153.057,1.46972,1.33047,1.42641,0.65436,0.47925,0.52239,0.26069,1.69173,1.35416,1.54354,0.00150197,0.00150197,0.00150197
12,166.737,1.44633,1.26255,1.41347,0.6408,0.47239,0.53743,0.28082,1.65216,1.27007,1.49535,0.00148546,0.00148546,0.00148546
13,180.473,1.42819,1.25103,1.40709,0.52416,0.49123,0.47919,0.24813,1.61318,1.26393,1.47158,0.00146896,0.00146896,0.00146896
14,194.172,1.40798,1.20289,1.38577,0.60107,0.34035,0.45911,0.24328,1.64203,1.51209,1.5199,0.00145246,0.00145246,0.00145246
15,207.8,1.4004,1.19154,1.38595,0.60129,0.50472,0.54223,0.28883,1.60037,1.22368,1.4596,0.00143595,0.00143595,0.00143595
16,221.49,1.38509,1.17252,1.35945,0.70772,0.44191,0.54227,0.28995,1.58622,1.20588,1.4607,0.00141945,0.00141945,0.00141945
17,235.221,1.38956,1.15357,1.37495,0.55972,0.52347,0.55761,0.29594,1.59288,1.26124,1.46734,0.00140295,0.00140295,0.00140295
18,248.891,1.36306,1.13479,1.34481,0.6079,0.51302,0.56044,0.30553,1.58891,1.2052,1.44757,0.00138644,0.00138644,0.00138644
19,262.778,1.36327,1.11929,1.3519,0.60389,0.56384,0.59841,0.33266,1.55183,1.12151,1.43201,0.00136994,0.00136994,0.00136994
20,276.468,1.34241,1.0864,1.34,0.67402,0.54364,0.58783,0.30765,1.61103,1.21895,1.48706,0.00135344,0.00135344,0.00135344
21,290.229,1.33927,1.09047,1.34255,0.60721,0.55091,0.57403,0.29346,1.58648,1.27212,1.44907,0.00133693,0.00133693,0.00133693
22,303.959,1.36069,1.10028,1.33786,0.67775,0.59571,0.634,0.33707,1.55403,1.12842,1.43042,0.00132043,0.00132043,0.00132043
23,317.712,1.30683,1.07112,1.32656,0.68736,0.55329,0.61822,0.33016,1.54915,1.09526,1.43686,0.00130393,0.00130393,0.00130393
24,331.257,1.32275,1.04796,1.325,0.62792,0.58934,0.60588,0.32553,1.57023,1.12016,1.4306,0.00128742,0.00128742,0.00128742
25,344.937,1.33118,1.06377,1.32432,0.73365,0.52068,0.61407,0.3307,1.53985,1.10069,1.42652,0.00127092,0.00127092,0.00127092
26,358.555,1.31444,1.03303,1.30632,0.61369,0.55952,0.59975,0.32201,1.54498,1.08923,1.43475,0.00125442,0.00125442,0.00125442
27,372.105,1.28662,1.01862,1.30216,0.67856,0.56435,0.60391,0.31823,1.54927,1.11371,1.43027,0.00123791,0.00123791,0.00123791
28,385.653,1.28495,1.00477,1.29103,0.72902,0.55117,0.63303,0.35301,1.55065,1.09379,1.42711,0.00122141,0.00122141,0.00122141
29,399.351,1.30256,1.0008,1.29667,0.6302,0.59789,0.60714,0.32257,1.55111,1.1042,1.44786,0.00120491,0.00120491,0.00120491
30,412.973,1.26799,0.98405,1.2872,0.69874,0.60182,0.65667,0.33747,1.52031,1.06878,1.41696,0.0011884,0.0011884,0.0011884
31,426.53,1.26882,0.98104,1.28792,0.76075,0.57434,0.65718,0.36344,1.51374,1.07698,1.40678,0.0011719,0.0011719,0.0011719
32,440.186,1.2617,0.97223,1.27861,0.62022,0.60378,0.61972,0.33531,1.51778,1.0671,1.39436,0.0011554,0.0011554,0.0011554
33,453.762,1.26714,0.97673,1.27833,0.68355,0.57364,0.62436,0.34412,1.54416,1.13554,1.42882,0.00113889,0.00113889,0.00113889
34,467.329,1.25413,0.98416,1.27823,0.67213,0.58339,0.61905,0.33761,1.54131,1.08434,1.4212,0.00112239,0.00112239,0.00112239
35,480.885,1.25766,0.95052,1.27774,0.64233,0.62237,0.65735,0.3564,1.51852,1.07739,1.41482,0.00110589,0.00110589,0.00110589
36,494.493,1.23503,0.94916,1.25979,0.67059,0.61639,0.65696,0.35499,1.51091,1.0166,1.4141,0.00108938,0.00108938,0.00108938
37,508.031,1.23469,0.92902,1.26025,0.62055,0.62411,0.64321,0.34664,1.54717,1.03984,1.42,0.00107288,0.00107288,0.00107288
38,521.576,1.23187,0.93725,1.26756,0.63656,0.6075,0.63031,0.34106,1.54551,1.02419,1.43047,0.00105638,0.00105638,0.00105638
39,535.219,1.24425,0.93852,1.27004,0.69991,0.57592,0.66796,0.36792,1.50339,0.99087,1.39708,0.00103987,0.00103987,0.00103987
40,548.964,1.21969,0.90497,1.2497,0.74747,0.58852,0.6645,0.38783,1.48099,1.00347,1.38372,0.00102337,0.00102337,0.00102337
41,563.603,1.22375,0.90523,1.2456,0.71169,0.64433,0.67986,0.38096,1.52881,1.00946,1.41068,0.00100687,0.00100687,0.00100687
42,577.986,1.20314,0.88897,1.24172,0.69633,0.62975,0.67215,0.36986,1.51014,0.98824,1.40251,0.000990365,0.000990365,0.000990365
43,593.55,1.22592,0.89443,1.24789,0.69488,0.63079,0.66739,0.36061,1.49443,0.98414,1.39328,0.000973861,0.000973861,0.000973861
44,608.389,1.19061,0.87218,1.22793,0.71105,0.59024,0.66968,0.37303,1.5148,0.99546,1.40307,0.000957358,0.000957358,0.000957358
45,623.023,1.21125,0.8826,1.23939,0.66825,0.62608,0.68403,0.38255,1.48887,0.99967,1.39018,0.000940855,0.000940855,0.000940855
46,638.216,1.18675,0.86969,1.23089,0.67629,0.63898,0.68404,0.39044,1.47385,0.98928,1.37648,0.000924352,0.000924352,0.000924352
47,652.648,1.19243,0.86744,1.2296,0.69388,0.63103,0.6849,0.38472,1.50002,1.04907,1.40073,0.000907848,0.000907848,0.000907848
